
response
<openai.Stream object at 0x000002363B596BA0>
ResponseCreatedEvent(response=Response(id='resp_0b704da3896a2580006a1a70732618819885d263564d9e1080', created_at=1780117619.0, error=None, incomplete_details=None, instructions='You are a helpful assistant.', metadata={}, model='gpt-5-nano-2025-08-07', object='response', output=[], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, completed_at=None, conversation=None, max_output_tokens=None, max_tool_calls=None, previous_response_id=None, prompt=None, prompt_cache_key=None, prompt_cache_retention='in_memory', reasoning=Reasoning(effort='medium', generate_summary=None, summary=None, context='current_turn'), safety_identifier=None, service_tier='auto', status='in_progress', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), top_logprobs=0, truncation='disabled', usage=None, user=None, frequency_penalty=0.0, moderation=None, presence_penalty=0.0, store=True), sequence_number=0, type='response.created')
ResponseInProgressEvent(response=Response(id='resp_0b704da3896a2580006a1a70732618819885d263564d9e1080', created_at=1780117619.0, error=None, incomplete_details=None, instructions='You are a helpful assistant.', metadata={}, model='gpt-5-nano-2025-08-07', object='response', output=[], parallel_tool_calls=True, temperature=1.0, tool_choice='auto', tools=[], top_p=1.0, background=False, completed_at=None, conversation=None, max_output_tokens=None, max_tool_calls=None, previous_response_id=None, prompt=None, prompt_cache_key=None, prompt_cache_retention='in_memory', reasoning=Reasoning(effort='medium', generate_summary=None, summary=None, context='current_turn'), safety_identifier=None, service_tier='auto', status='in_progress', text=ResponseTextConfig(format=ResponseFormatText(type='text'), verbosity='medium'), top_logprobs=0, truncation='disabled', usage=None, user=None, frequency_penalty=0.0, moderation=None, presence_penalty=0.0, store=True), sequence_number=1, type='response.in_progress')
ResponseOutputItemAddedEvent(item=ResponseReasoningItem(id='rs_0b704da3896a2580006a1a70738a6c8198992c39101107606e', summary=[], type='reasoning', content=None, encrypted_content=None, status=None), output_index=0, sequence_number=2, type='response.output_item.added')
ResponseOutputItemDoneEvent(item=ResponseReasoningItem(id='rs_0b704da3896a2580006a1a70738a6c8198992c39101107606e', summary=[], type='reasoning', content=None, encrypted_content=None, status=None), output_index=0, sequence_number=3, type='response.output_item.done')
ResponseOutputItemAddedEvent(item=ResponseOutputMessage(id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', content=[], role='assistant', status='in_progress', type='message', phase=None), output_index=1, sequence_number=4, type='response.output_item.added')
ResponseContentPartAddedEvent(content_index=0, item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', output_index=1, part=ResponseOutputText(annotations=[], text='', type='output_text', logprobs=[]), sequence_number=5, type='response.content_part.added')
ResponseTextDeltaEvent(content_index=0, delta='신', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=6, type='response.output_text.delta', obfuscation='7Slj3onAV2bwxB0')
ResponseTextDeltaEvent(content_index=0, delta='분', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=7, type='response.output_text.delta', obfuscation='eFFb9vHa2prp8lG')
ResponseTextDeltaEvent(content_index=0, delta=' 차', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=8, type='response.output_text.delta', obfuscation='G5IMIyoNAvuFjz')
ResponseTextDeltaEvent(content_index=0, delta='별', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=9, type='response.output_text.delta', obfuscation='rJ1o8iw19rHN3Vf')
ResponseTextDeltaEvent(content_index=0, delta='과', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=10, type='response.output_text.delta', obfuscation='b5pvah6HJ9izOCe')
ResponseTextDeltaEvent(content_index=0, delta=' 부', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=11, type='response.output_text.delta', obfuscation='LkE5mzAvYGLK4g')
ResponseTextDeltaEvent(content_index=0, delta='패', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=12, type='response.output_text.delta', obfuscation='IDFxbPUBr10YVcJ')
ResponseTextDeltaEvent(content_index=0, delta='한', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=13, type='response.output_text.delta', obfuscation='p3ITHCUAWxdTRfS')
ResponseTextDeltaEvent(content_index=0, delta=' 사회', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=14, type='response.output_text.delta', obfuscation='jNxtnSJbfUtXJ')
ResponseTextDeltaEvent(content_index=0, delta='를', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=15, type='response.output_text.delta', obfuscation='aN7hSnkQUtPSVdz')
ResponseTextDeltaEvent(content_index=0, delta=' 견', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=16, type='response.output_text.delta', obfuscation='q5PvvZYtRs6RqZ')
ResponseTextDeltaEvent(content_index=0, delta='디', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=17, type='response.output_text.delta', obfuscation='peUy233uzCU2M9Z')
ResponseTextDeltaEvent(content_index=0, delta='던', item_id='msg_0b704da3896a2580006a1a707767b88198911052f780218838', logprobs=[], output_index=1, sequence_number=18, type='response.output_text.delta', obfuscation='AWNaqpqtjNJr0gQ')
