text,category
세일 무료 배송 할인,광고
백화점 세일,광고
파격 세일 할인,광고
쿠폰 선물 무료 배송,광고
인기 제품 기간 한정 세일,광고
오늘만 특가 할인 행사,광고
무료 배송 이벤트,광고
신제품 출시 기념 할인,광고
한정 수량 특별 할인,광고
쇼핑몰 할인 쿠폰 증정,광고
여름 시즌 대세일,광고
겨울 의류 특가 판매,광고
최대 50퍼센트 할인,광고
신규 회원 할인 이벤트,광고
무료 배송 서비스 제공,광고
한정 특가 상품 안내,광고
오늘의 추천 상품,광고
초특가 세일 진행중,광고
인기 브랜드 할인전,광고
특별 할인 행사 시작,광고
프로젝트 진행 상황,일반
계약 잘 부탁드립니다,일반
회의 일정 등록,일반
오늘 일정이 없습니다,일반
업무 보고서 제출,일반
회의 자료 검토 요청,일반
프로젝트 일정 변경,일반
계약서 검토 부탁,일반
내일 회의 참석 바랍니다,일반
업무 협조 요청,일반
보고서 수정 사항 확인,일반
프로젝트 완료 보고,일반
고객 미팅 일정 공유,일반
개발 진행 현황 보고,일반
주간 업무 보고,일반
팀 회의 공지,일반
중요 문서 전달,일반
일정 변경 안내,일반
프로젝트 계획 수립,일반
업무 일정 확인,일반
