비스트리밍 방식은 모든 결과가 정리되고 나서 한꺼번에 보여 줍니다.
ChatCompletionChunk(id='chatcmpl-Dl5SdSONRLYIqsVzLj8NCSytvyNVN', choices=[Choice(delta=ChoiceDelta(content='', function_call=None, refusal=None, role='assistant', tool_calls=None), finish_reason=None, index=0, logprobs=None)], created=1780114779, model='gpt-5-nano-2025-08-07', object='chat.completion.chunk', service_tier='default', system_fingerprint=None, usage=None, obfuscation='wh')
ChatCompletionChunk(id='chatcmpl-Dl5SdSONRLYIqsVzLj8NCSytvyNVN', choices=[Choice(delta=ChoiceDelta(content='홍', function_call=None, refusal=None, role=None, tool_calls=None), finish_reason=None, index=0, logprobs=None)], created=1780114779, model='gpt-5-nano-2025-08-07', object='chat.completion.chunk', service_tier='default', system_fingerprint=None, usage=None, obfuscation='8bo')
ChatCompletionChunk(id='chatcmpl-Dl5SdSONRLYIqsVzLj8NCSytvyNVN', choices=[Choice(delta=ChoiceDelta(content='길', function_call=None, refusal=None, role=None, tool_calls=None), finish_reason=None, index=0, logprobs=None)], created=1780114779, model='gpt-5-nano-2025-08-07', object='chat.completion.chunk', service_tier='default', system_fingerprint=None, usage=None, obfuscation='LyD')
ChatCompletionChunk(id='chatcmpl-Dl5SdSONRLYIqsVzLj8NCSytvyNVN', choices=[Choice(delta=ChoiceDelta(content='동', function_call=None, refusal=None, role=None, tool_calls=None), finish_reason=None, index=0, logprobs=None)], created=1780114779, model='gpt-5-nano-2025-08-07', object='chat.completion.chunk', service_tier='default', system_fingerprint=None, usage=None, obfuscation='BEm')
ChatCompletionChunk(id='chatcmpl-Dl5SdSONRLYIqsVzLj8NCSytvyNVN', choices=[Choice(delta=ChoiceDelta(content='은', function_call=None, refusal=None, role=None, tool_calls=None), finish_reason=None, index=0, logprobs=None)], created=1780114779, model='gpt-5-nano-2025-08-07', object='chat.completion.chunk', service_tier='default', system_fingerprint=None, usage=None, obfuscation='n5J')
ChatCompletionChunk(id='chatcmpl-Dl5SdSONRLYIqsVzLj8NCSytvyNVN', choices=[Choice(delta=ChoiceDelta(content=' 양', function_call=None, refusal=None, role=None, tool_calls=None), finish_reason=None, index=0, logprobs=None)], created=1780114779, model='gpt-5-nano-2025-08-07', object='chat.completion.chunk', service_tier='default', system_fingerprint=None, usage=None, obfuscation='kg')
ChatCompletionChunk(id='chatcmpl-Dl5SdSONRLYIqsVzLj8NCSytvyNVN', choices=[Choice(delta=ChoiceDelta(content='반', function_call=None, refusal=None, role=None, tool_calls=None), finish_reason=None, index=0, logprobs=None)], created=1780114779, model='gpt-5-nano-2025-08-07', object='chat.completion.chunk', service_tier='default', system_fingerprint=None, usage=None, obfuscation='Eh1')
ChatCompletionChunk(id='chatcmpl-Dl5SdSONRLYIqsVzLj8NCSytvyNVN', choices=[Choice(delta=ChoiceDelta(content=' 가', function_call=None, refusal=None, role=None, tool_calls=None), finish_reason=None, index=0, logprobs=None)], created=1780114779, model='gpt-5-nano-2025-08-07', object='chat.completion.chunk', service_tier='default', system_fingerprint=None, usage=None, obfuscation='d4')
ChatCompletionChunk(id='chatcmpl-Dl5SdSONRLYIqsVzLj8NCSytvyNVN', choices=[Choice(delta=ChoiceDelta(content='문의', function_call=None, refusal=None, role=None, tool_calls=None), finish_reason=None, index=0, logprobs=None)], created=1780114779, model='gpt-5-nano-2025-08-07', object='chat.completion.chunk', service_tier='default', system_fingerprint=None, usage=None, obfuscation='zt')
ChatCompletionChunk(id='chatcmpl-Dl5SdSONRLYIqsVzLj8NCSytvyNVN', choices=[Choice(delta=ChoiceDelta(content=' 자', function_call=None, refusal=None, role=None, tool_calls=None), finish_reason=None, index=0, logprobs=None)], created=1780114779, model='gpt-5-nano-2025-08-07', object='chat.completion.chunk', service_tier='default', system_fingerprint=None, usage=None, obfuscation='CG')
ChatCompletionChunk(id='chatcmpl-Dl5SdSONRLYIqsVzLj8NCSytvyNVN', choices=[Choice(delta=ChoiceDelta(content='손', function_call=None, refusal=None, role=None, tool_calls=None), finish_reason=None, index=0, logprobs=None)], created=1780114779, model='gpt-5-nano-2025-08-07', object='chat.completion.chunk', service_tier='default', system_fingerprint=None, usage=None, obfuscation='O39')
